"country","2013","2014","2015"
"Niue",0.010992,0.011733,0.011858
"North Korea",50.0502,52.9094,54.1878
"Norway",44.3073,43.8674,43.972
"Occupied Palestinian Territory",2.4366,2.5038,2.5061
"Oman",61.1338,59.8795,63.268
"Pakistan",153.2431,162.3106,171.3018
"Palau",0.2235,0.23857,0.24111
"Panama",10.3545,10.7397,10.915
"Papua New Guinea",6.0676,6.4911,6.5814
"Paraguay",4.9684,5.0814,5.1884
"Peru",57.1071,58.2173,60.3569
"Philippines",98.1586,104.1962,113.2836
"Poland",322.4405,310.3073,315.8247
"Portugal",47.4823,47.2149,50.715
"Qatar",84.9535,80.8695,90.8101
"Republic of South Sudan",1.4473,1.4377,1.4703
"R?union",4.3125,4.9791,4.9283
"Romania",73.3788,73.3648,75.0697
"Russian Federation",1667.0358,1671.9418,1617.3153
"Rwanda",0.79875,0.79018,0.80692
"Saint Helena",0.010992,0.010919,0.011167
"Saint Kitts and Nevis",0.27846,0.28524,0.29165
"Saint Lucia",0.4067,0.4166,0.42596
"Saint Pierre and Miquelon",0.07328,0.075063,0.07675
"Saint Vincent and the Grenadines",0.20885,0.21393,0.21874
"Samoa",0.23816,0.25422,0.25692
"Sao Tome and Principe",0.11358,0.11283,0.11539
"Saudi Arabia",540.9859,574.9681,600.5319
"Senegal",8.4162,8.6819,8.7623
"Serbia",44.8327,42.5012,44.4949
"Seychelles",0.64486,0.64061,0.65512
"Sierra Leone",1.1908,1.184,1.2072
"Singapore",50.5156,52.6792,55.0556
"Slovakia",35.3952,33.3874,34.1478
"Slovenia",15.1487,13.49,13.8737
"Solomon Islands",0.19786,0.21119,0.21344
"Somalia",0.62288,0.61877,0.63279
"South Africa",470.8533,480.4238,462.1822
"South Korea",592.0145,591.2397,592.1608
"Spain",252.2597,253.4669,272.5408
"Sri Lanka",16.0117,16.9776,17.1771
"Sudan",15.4328,15.3424,15.6505
"Suriname",2.0995,2.1499,2.1972
"Swaziland",1.0882,1.2219,1.2173
"Sweden",44.8992,43.4049,42.5365
"Switzerland",43.1817,39.2651,40.3138
"Syria",36.0354,36.3331,37.1346
"Taiwan",261.3165,265.011,263.3944
"Tajikistan",3.5834,3.5299,3.6088
"Tanzania",10.7428,11.0254,11.4966
"Thailand",302.8699,309.3571,312.2938
"Timor-Leste",0.43968,0.46932,0.47432
"Togo",2.2277,2.2171,2.2534
