"","Country.Name","Country.Code","life","aa","am","af","eu","gdp","sani","pre","pri","sec","ter","smo","ob","al","co2","hiv","NA"
"37","Kenya","KEN",66.64565854,0,1,0,0,1455.359765,30.1,76.22380066,104.7763824,98.88208771,79.56452942,13.6,9.8,25.5,30.1,0.310415314,5.4
"38","Latvia","LVA",74.12439024,0,0,0,1,14118.06391,87.8,88.19287109,101.6766968,38.43492889,4.775559902,35.9,30,57.8,87.8,3.498192882,0.7
"39","Lebanon","LBN",79.4982439,1,0,0,0,7914.004677,80.7,77.59599304,116.6571274,94.09674835,44.66407013,37,28.7,67.9,80.7,4.295732552,0.1
"40","Lesotho","LSO",53.57009756,0,1,0,0,998.1343716,30.3,33.95215988,108.3530502,102.2624588,67.03972626,25.4,19.9,38.7,30.3,1.150111032,25
"41","Liberia","LBR",61.98021951,0,1,0,0,455.3707414,16.9,156.0634155,104.4634094,42.93035126,9.059490204,14.2,11.2,30.9,16.9,0.212967664,1.6
"42","Lithuania","LTU",75.1195122,0,0,0,1,14879.6803,92.4,91.31036377,102.7561264,96.47918701,28.14357948,30.1,23.6,59.6,92.4,4.378090123,0.2
"43","Malawi","MWI",62.54336585,0,1,0,0,300.7948251,41,81.61180878,103.4143906,20.74982071,18.34630013,16.3,11.9,23.4,41,0.07476291,9.2
"44","Malaysia","MYS",75.22019512,1,0,0,0,9502.568396,96,93.94883728,99.65828705,55.70421982,9.927390099,22.3,18.2,42.5,96,8.032991579,0.4
"45","Mali","MLI",57.45770732,0,1,0,0,780.5071109,24.7,4.055970192,97.91777802,91.46233368,36.66756821,18.6,14.9,28.1,24.7,0.083228663,1
"46","Malta","MLT",81.94634146,0,0,0,1,25058.17061,100,111.1687393,105.2605972,32.43180847,26.07408905,25.9,20.7,66.4,100,5.491524789,0.1
"47","Mauritania","MRT",63.04636585,0,1,0,0,1077.556136,40,10.60464954,93.21849823,77.57128143,83.93132019,22.3,19,34.4,40,0.666822428,0.5
"48","Mexico","MEX",76.88136585,0,0,1,0,8201.306253,85.2,68.95825958,100.3891068,94.8015976,36.42274857,14.5,8.3,64.9,85.2,3.866241113,0.3
"49","Morocco","MAR",75.52014634,0,1,0,0,2832.429777,76.7,56.86927032,105.5202789,90.54969025,37.91613007,22,17.9,60.4,76.7,1.744379974,0.1
"50","Myanmar","MMR",66.38563415,1,0,0,0,1275.017608,79.6,23.45993996,103.3891983,30.5981102,84.03231812,20,15.8,24.8,79.6,0.416600362,0.8
"51","Namibia","NAM",63.63643902,0,1,0,0,4140.461932,34.4,21.43946075,94.30671692,112.9892426,35.75333023,23.8,18.9,40.6,34.4,1.583728667,13.8
"52","Nepal","NPL",69.86985366,1,0,0,0,729.5325011,45.8,84.21379089,103.0363617,103.9430695,84.38378143,24.6,18.1,21,45.8,0.283538526,0.2
"53","Netherlands","NLD",81.70731707,0,0,0,1,45294.78,97.7,95.63011169,105.8019409,82.63665771,68.11361694,25.7,19.6,57.8,97.7,9.920138075,0.2
"54","Niger","NER",59.68187805,0,1,0,0,363.2269739,10.9,7.365499973,100.89608,69.57147217,61.86380005,8.4,6,22,10.9,0.111073516,0.4
"55","Pakistan","PAK",66.33217073,1,0,0,0,1468.192946,63.5,72.31954193,93.67488861,88.38892365,53.22021866,22.6,18.6,28.4,63.5,0.896264105,0.1
"56","Panama","PAN",77.81743902,0,0,1,0,13680.23601,75,48.29030991,104.7017212,95.74770355,80.39408112,7.4,3.9,58.8,75,2.254311363,0.8
"57","Romania","ROU",74.96097561,0,0,0,1,9474.130604,79.1,90.98455048,99.64183044,36.68696976,52.92351151,30.5,25.7,57.7,79.1,3.516153691,0.1
"58","Saudi Arabia","SAU",74.5744878,1,0,0,0,20028.64821,100,17.35004997,76.83377838,49.64675903,14.25619984,17.1,14.5,69.7,100,19.5292718,0.1
"59","Spain","ESP",83.3804878,0,0,0,1,26528.49179,99.9,96.65988922,103.9297333,35.17324829,8.126040459,30.3,25.7,61.6,99.9,5.033824487,0.4
"60","Sri Lanka","LKA",74.98895122,1,0,0,0,3835.394817,95.1,93.03975677,92.41384888,93.09906006,42.67848969,14.1,10.9,23.3,95.1,0.885545809,0.1
