"","Country","Region"
"192","Sri Lanka ","ASIA"
"193","Sudan ","AFRICA"
"194","Suriname ","AMERICA"
"195","Swaziland ","AFRICA"
"196","Sweden ","EUROPE"
"197","Switzerland ","EUROPE"
"198","Syria ","ASIA"
"199","Taiwan ","ASIA"
"200","Tajikistan ","ASIA"
"201","Tanzania ","AFRICA"
"202","Thailand ","ASIA"
"203","Togo ","AFRICA"
"204","Tonga ","ASIA"
"205","Trinidad & Tobago ","AMERICA"
"206","Tunisia ","AFRICA"
"207","Turkey ","ASIA"
"208","Turkmenistan ","ASIA"
"209","Turks & Caicos Is ","AMERICA"
"210","Tuvalu ","ASIA"
"211","Uganda ","AFRICA"
"212","Ukraine ","ASIA"
"213","United Arab Emirates ","ASIA"
"214","United Kingdom ","EUROPE"
"215","United States ","AMERICA"
"216","Uruguay ","AMERICA"
"217","Uzbekistan ","ASIA"
"218","Vanuatu ","ASIA"
"219","Venezuela ","AMERICA"
"220","Vietnam ","ASIA"
"221","Virgin Islands ","AMERICA"
"222","Wallis and Futuna ","ASIA"
"223","West Bank ","ASIA"
"224","Western Sahara ","AFRICA"
"225","Yemen ","ASIA"
"226","Zambia ","AFRICA"
"227","Zimbabwe ","AFRICA"
