"","Country.Name","Country.Code","X2014","X2015","X2016"
"96","Iceland","ISL",17178962757,16783714958,20047413006
"97","Israel","ISR",3.08769e+11,2.99416e+11,3.18744e+11
"98","Italy","ITA",2.15173e+12,1.8249e+12,1.84997e+12
"99","Jamaica","JAM",13897561173,14261995114,14027151473
"100","Jordan","JOR",35826925775,37517410282,38654727746
"101","Japan","JPN",4.84873e+12,4.38308e+12,4.93938e+12
"102","Kazakhstan","KAZ",2.21416e+11,1.84388e+11,1.33657e+11
"103","Kenya","KEN",61445345999,63767539357,70529014778
"104","Kyrgyz Republic","KGZ",7468096567,6678178340,6551287938
"105","Cambodia","KHM",16777820333,18049954289,20016747754
"106","Kiribati","KIR",186066973.1,160121929.2,165765016.4
"107","St. Kitts and Nevis","KNA",847778185.2,876478555.6,916896555.6
"108","Korea, Rep.","KOR",1.41133e+12,1.38276e+12,1.41125e+12
"109","Latin America & Caribbean (excluding high income)","LAC",5.7961e+12,4.91888e+12,4.76116e+12
"110","Lao PDR","LAO",13268297522,14390323462,15903437790
"111","Lebanon","LBN",45730945274,47084703151,47536798648
"112","Liberia","LBR",2.013e+09,2.034e+09,2.101e+09
"113","St. Lucia","LCA",1386188630,1431135704,1378627407
"114","Latin America & Caribbean","LCN",6.27627e+12,5.35941e+12,5.20117e+12
"115","Least developed countries: UN classification","LDC",9.36514e+11,9.28999e+11,9.40285e+11
"116","Low income","LIC",4.09946e+11,4.01558e+11,4.05501e+11
"117","Sri Lanka","LKA",79356456990,80611989527,81321876307
"118","Lower middle income","LMC",6.06738e+12,6.03468e+12,6.25224e+12
"119","Low & middle income","LMY",2.85259e+13,2.70734e+13,2.70967e+13
"120","Lesotho","LSO",2520952363,2335194894,2199709489
"121","Late-demographic dividend","LTE",1.96968e+13,1.84429e+13,1.8429e+13
"122","Lithuania","LTU",48545251796,41402022148,42738875963
"123","Luxembourg","LUX",66298060522,58048242436,59947781147
"124","Latvia","LVA",31352249350,27026037600,27677391316
"125","Macao SAR, China","MAC",55347998648,45415278647,44802641830
"126","Morocco","MAR",1.09881e+11,1.00593e+11,1.01445e+11
"127","Moldova","MDA",7983271111,6512899540,6749515655
"128","Madagascar","MDG",10673516673,9738652322,9990653078
"129","Maldives","MDV",3094197810,3435244659,3591112751
"130","Middle East & North Africa","MEA",3.55216e+12,3.15318e+12,3.1115e+12
"131","Mexico","MEX",1.2984e+12,1.15104e+12,1.046e+12
"132","Marshall Islands","MHL",183114100,179432600,1.83e+08
"133","Middle income","MIC",2.81727e+13,2.67205e+13,2.67417e+13
"134","Macedonia, FYR","MKD",11362272838,10051659161,10899583155
"135","Mali","MLI",14004067516,12746688962,14045098238
"136","Malta","MLT",11188785253,10287007021,10949092472
"137","Myanmar","MMR",65574726566,62600906116,67429590536
"138","Montenegro","MNE",4587928884,4019889098,4173255531
"139","Mongolia","MNG",12226514746,11741338841,11160356498
"140","Mozambique","MOZ",16961127046,14798399862,11014858592
"141","Mauritania","MRT",5391475878,4844223518,4634588338
"142","Mauritius","MUS",12803445934,11681761261,12164207330
"143","Malawi","MWI",6054750320,6373201160,5441852138
"144","Malaysia","MYS",3.38069e+11,2.96283e+11,2.96359e+11
"145","North America","NAC",1.91918e+13,1.95953e+13,2.01049e+13
"146","Namibia","NAM",12853963143,11491507356,10267157280
"147","Niger","NER",8245312137,7142951342,7508986509
"148","Nigeria","NGA",5.68499e+11,4.81066e+11,4.05083e+11
"149","Nicaragua","NIC",11880438824,12747741540,13230844687
"150","Netherlands","NLD",8.79635e+11,7.50318e+11,7.70845e+11
"151","Norway","NOR",4.9834e+11,3.86578e+11,3.70557e+11
"152","Nepal","NPL",20002968838,21313549579,21143873417
"153","Nauru","NRU",117020381.9,100459782.6,102060129.6
"154","New Zealand","NZL",2.00696e+11,1.75564e+11,1.85017e+11
"155","OECD members","OED",4.93188e+13,4.64899e+13,4.73941e+13
"156","Oman","OMN",81034395038,69831770996,66293368010
"157","Other small states","OSS",4.44405e+11,3.68814e+11,3.58773e+11
