Country Name,Country Code,Indicator Name,2013,2014,2015,2016
Finland,FIN,"Life expectancy at birth, total (years)",80.97560976,81.1804878,81.38536585,
Fiji,FJI,"Life expectancy at birth, total (years)",69.91143902,70.07112195,70.22426829,
France,FRA,"Life expectancy at birth, total (years)",82.2195122,82.67073171,82.67073171,
Faroe Islands,FRO,"Life expectancy at birth, total (years)",81.44146341,81.48536585,81.63414634,
"Micronesia, Fed. Sts.",FSM,"Life expectancy at birth, total (years)",68.83085366,68.93490244,69.04663415,
Gabon,GAB,"Life expectancy at birth, total (years)",64.67087805,65.20302439,65.68441463,
United Kingdom,GBR,"Life expectancy at birth, total (years)",81.00487805,81.30487805,81.60487805,
Georgia,GEO,"Life expectancy at birth, total (years)",72.69846341,72.82063415,72.96612195,
Ghana,GHA,"Life expectancy at birth, total (years)",61.82031707,62.11378049,62.4072439,
Guinea,GIN,"Life expectancy at birth, total (years)",58.27960976,58.82490244,59.39895122,
"Gambia, The",GMB,"Life expectancy at birth, total (years)",60.46217073,60.71385366,60.95743902,
Guinea-Bissau,GNB,"Life expectancy at birth, total (years)",56.14965854,56.54821951,56.95039024,
Equatorial Guinea,GNQ,"Life expectancy at birth, total (years)",56.978,57.25553659,57.50839024,
Greece,GRC,"Life expectancy at birth, total (years)",81.28536585,81.43658537,81.58780488,
Grenada,GRD,"Life expectancy at birth, total (years)",73.18909756,73.35334146,73.49953659,
Greenland,GRL,"Life expectancy at birth, total (years)",71.8304878,,,
Guatemala,GTM,"Life expectancy at birth, total (years)",72.45402439,72.76202439,73.04297561,
Guam,GUM,"Life expectancy at birth, total (years)",78.95363415,79.17373171,79.37763415,
Guyana,GUY,"Life expectancy at birth, total (years)",66.31765854,66.42614634,66.53936585,
High income,HIC,"Life expectancy at birth, total (years)",80.3808347,80.61483831,80.74130969,
"Hong Kong SAR, China",HKG,"Life expectancy at birth, total (years)",83.83170732,83.9804878,84.27804878,
Honduras,HND,"Life expectancy at birth, total (years)",72.93970732,73.12990244,73.32460976,
Heavily indebted poor countries (HIPC),HPC,"Life expectancy at birth, total (years)",60.67593748,61.16724084,61.6223619,
Croatia,HRV,"Life expectancy at birth, total (years)",77.12682927,77.47804878,77.27560976,
Haiti,HTI,"Life expectancy at birth, total (years)",62.388,62.71314634,63.01078049,
Hungary,HUN,"Life expectancy at birth, total (years)",75.56585366,75.76341463,75.96097561,
IBRD only,IBD,"Life expectancy at birth, total (years)",72.11589743,72.34335635,72.55544022,
IDA & IBRD total,IBT,"Life expectancy at birth, total (years)",69.78210044,70.02402922,70.24842028,
IDA total,IDA,"Life expectancy at birth, total (years)",62.54378434,62.92237258,63.27507351,
IDA blend,IDB,"Life expectancy at birth, total (years)",60.68853703,61.03881152,61.35832808,
Indonesia,IDN,"Life expectancy at birth, total (years)",68.69512195,68.8684878,69.03863415,
IDA only,IDX,"Life expectancy at birth, total (years)",63.45961686,63.8531217,64.22299397,
India,IND,"Life expectancy at birth, total (years)",67.73934146,68.05002439,68.33260976,
Ireland,IRL,"Life expectancy at birth, total (years)",81,81.34878049,81.50243902,
"Iran, Islamic Rep.",IRN,"Life expectancy at birth, total (years)",75.16541463,75.47819512,75.74263415,
Iraq,IRQ,"Life expectancy at birth, total (years)",69.19546341,69.42560976,69.63460976,
Iceland,ISL,"Life expectancy at birth, total (years)",82.06097561,82.86097561,82.86097561,
Israel,ISR,"Life expectancy at birth, total (years)",82.05609756,82.15365854,82.05121951,
Italy,ITA,"Life expectancy at birth, total (years)",82.6902439,83.0902439,83.4902439,
Jamaica,JAM,"Life expectancy at birth, total (years)",75.49026829,75.65853659,75.80668293,
Jordan,JOR,"Life expectancy at birth, total (years)",73.89692683,74.04495122,74.19102439,
Japan,JPN,"Life expectancy at birth, total (years)",83.33195122,83.58780488,83.84365854,
Kazakhstan,KAZ,"Life expectancy at birth, total (years)",70.45,71.62,72,
Kenya,KEN,"Life expectancy at birth, total (years)",65.60307317,66.19414634,66.64565854,
Kyrgyz Republic,KGZ,"Life expectancy at birth, total (years)",70.20243902,70.40243902,70.65121951,
Cambodia,KHM,"Life expectancy at birth, total (years)",67.72802439,68.1062439,68.47204878,
Kiribati,KIR,"Life expectancy at birth, total (years)",65.70017073,65.87060976,66.05219512,
"Korea, Rep.",KOR,"Life expectancy at birth, total (years)",81.70512195,82.15585366,82.15585366,
Kuwait,KWT,"Life expectancy at birth, total (years)",74.49868293,74.6234878,74.74682927,
Latin America & Caribbean (excluding high income),LAC,"Life expectancy at birth, total (years)",74.70349166,74.92018456,75.13039619,
Lao PDR,LAO,"Life expectancy at birth, total (years)",65.54719512,65.92263415,66.28404878,
Lebanon,LBN,"Life expectancy at birth, total (years)",79.15031707,79.32626829,79.4982439,
Liberia,LBR,"Life expectancy at birth, total (years)",61.04117073,61.5012439,61.98021951,
Libya,LBY,"Life expectancy at birth, total (years)",71.65909756,71.71939024,71.83039024,
St. Lucia,LCA,"Life expectancy at birth, total (years)",74.93773171,75.10436585,75.2835122,
Latin America & Caribbean,LCN,"Life expectancy at birth, total (years)",74.848883,75.06371707,75.27120874,
Least developed countries: UN classification,LDC,"Life expectancy at birth, total (years)",63.25377625,63.67757136,64.0646819,
Low income,LIC,"Life expectancy at birth, total (years)",61.07649225,61.59026379,62.06047438,
Liechtenstein,LIE,"Life expectancy at birth, total (years)",82.26097561,82.07317073,82.07317073,
Sri Lanka,LKA,"Life expectancy at birth, total (years)",74.65929268,74.81465854,74.98895122,
Lower middle income,LMC,"Life expectancy at birth, total (years)",67.19332042,67.45876614,67.7051777,
Low & middle income,LMY,"Life expectancy at birth, total (years)",69.72966133,69.97035579,70.19326103,
Lesotho,LSO,"Life expectancy at birth, total (years)",52.56502439,53.09321951,53.57009756,
Late-demographic dividend,LTE,"Life expectancy at birth, total (years)",75.14546135,75.33914932,75.52288235,
Lithuania,LTU,"Life expectancy at birth, total (years)",73.91463415,74.51707317,75.1195122,
Luxembourg,LUX,"Life expectancy at birth, total (years)",81.8,82.22926829,82.22926829,
Latvia,LVA,"Life expectancy at birth, total (years)",73.98292683,74.12439024,74.12439024,
"Macao SAR, China",MAC,"Life expectancy at birth, total (years)",83.24046341,83.42692683,83.59490244,
St. Martin (French part),MAF,"Life expectancy at birth, total (years)",79.17073171,79.32195122,79.47073171,
Morocco,MAR,"Life expectancy at birth, total (years)",74.97014634,75.25514634,75.52014634,
Moldova,MDA,"Life expectancy at birth, total (years)",70.86456098,71.16168293,71.37121951,
Madagascar,MDG,"Life expectancy at birth, total (years)",64.6817561,65.10131707,65.50782927,
Maldives,MDV,"Life expectancy at birth, total (years)",76.63595122,76.85587805,77.12026829,
Middle East & North Africa,MEA,"Life expectancy at birth, total (years)",72.92047395,73.12388055,73.32241546,
Mexico,MEX,"Life expectancy at birth, total (years)",76.52307317,76.69917073,76.88136585,
Middle income,MIC,"Life expectancy at birth, total (years)",70.70287366,70.92783423,71.13718238,
"Macedonia, FYR",MKD,"Life expectancy at birth, total (years)",75.17970732,75.358,75.52431707,
Mali,MLI,"Life expectancy at birth, total (years)",56.53612195,56.98670732,57.45770732,
Malta,MLT,"Life expectancy at birth, total (years)",81.74634146,81.94634146,81.94634146,
Myanmar,MMR,"Life expectancy at birth, total (years)",65.9884878,66.20721951,66.38563415,
Middle East & North Africa (excluding high income),MNA,"Life expectancy at birth, total (years)",72.38275192,72.58932144,72.7953708,
Montenegro,MNE,"Life expectancy at birth, total (years)",76.35512195,76.63885366,76.86431707,
Mongolia,MNG,"Life expectancy at birth, total (years)",68.59985366,68.88260976,69.11587805,
Mozambique,MOZ,"Life expectancy at birth, total (years)",56.37960976,56.99434146,57.60926829,
Mauritania,MRT,"Life expectancy at birth, total (years)",62.67195122,62.8702439,63.04636585,
Mauritius,MUS,"Life expectancy at birth, total (years)",74.01707317,74.19439024,74.35317073,
Malawi,MWI,"Life expectancy at birth, total (years)",60.90643902,61.81660976,62.54336585,
Malaysia,MYS,"Life expectancy at birth, total (years)",74.87565854,75.05370732,75.22019512,
North America,NAC,"Life expectancy at birth, total (years)",79.04497199,79.06415393,79.08222552,
